time,kinetic_energy,mean_speed,rms_speed,vx2_mean,vy2_mean,temperature,pressure_ideal,pressure_real,vx0,vy0,vx_0,vy_0,vx_1,vy_1,vx_2,vy_2,vx_3,vy_3,vx_4,vy_4,vx_5,vy_5,vx_6,vy_6,vx_7,vy_7,vx_8,vy_8,vx_9,vy_9,vx_10,vy_10,vx_11,vy_11,vx_12,vy_12,vx_13,vy_13,vx_14,vy_14,vx_15,vy_15,vx_16,vy_16,vx_17,vy_17,vx_18,vy_18,vx_19,vy_19,vx_20,vy_20,vx_21,vy_21,vx_22,vy_22,vx_23,vy_23,vx_24,vy_24,vx_25,vy_25,vx_26,vy_26,vx_27,vy_27,vx_28,vy_28,vx_29,vy_29,vx_30,vy_30,vx_31,vy_31,vx_32,vy_32,vx_33,vy_33,vx_34,vy_34,vx_35,vy_35,vx_36,vy_36,vx_37,vy_37,vx_38,vy_38,vx_39,vy_39,vx_40,vy_40,vx_41,vy_41,vx_42,vy_42,vx_43,vy_43,vx_44,vy_44,vx_45,vy_45,vx_46,vy_46,vx_47,vy_47,vx_48,vy_48,vx_49,vy_49,vx_50,vy_50,vx_51,vy_51,vx_52,vy_52,vx_53,vy_53,vx_54,vy_54,vx_55,vy_55,vx_56,vy_56,vx_57,vy_57,vx_58,vy_58,vx_59,vy_59,vx_60,vy_60,vx_61,vy_61,vx_62,vy_62,vx_63,vy_63,vx_64,vy_64,vx_65,vy_65,vx_66,vy_66,vx_67,vy_67,vx_68,vy_68,vx_69,vy_69,vx_70,vy_70,vx_71,vy_71,vx_72,vy_72,vx_73,vy_73,vx_74,vy_74,vx_75,vy_75,vx_76,vy_76,vx_77,vy_77,vx_78,vy_78,vx_79,vy_79,vx_80,vy_80,vx_81,vy_81,vx_82,vy_82,vx_83,vy_83,vx_84,vy_84,vx_85,vy_85,vx_86,vy_86,vx_87,vy_87,vx_88,vy_88,vx_89,vy_89,vx_90,vy_90,vx_91,vy_91,vx_92,vy_92,vx_93,vy_93,vx_94,vy_94,vx_95,vy_95,vx_96,vy_96,vx_97,vy_97,vx_98,vy_98,vx_99,vy_99
0,1e+06,0.280052,14.1421,131.285,68.7146,100,44.1942,0,1006.46,-65.5515,1006.46,-65.5515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,1e+06,12.1001,14.1421,131.367,68.6331,100,44.1942,25.0153,8.33331,-6.98022,8.33331,-6.98022,30.9644,-5.20629,3.10202,-1.70273,5.21602,-8.22439,15.463,-1.86717,3.74964,0.943838,11.2543,-6.96424,2.76492,-1.86845,-6.51466,-21.8336,18.7797,-7.50716,0.121621,-5.73271,13.5695,-9.12327,8.34863,-12.421,16.5635,-3.31312,18.1581,0.369982,11.1649,-7.10879,15.8631,6.72664,2.50974,3.60552,-0.0182877,-7.91029,10.787,8.52864,22.7939,-13.2466,18.1714,-4.07084,-1.26233,23.3722,7.80484,-0.136199,6.96266,-5.68019,9.29737,-7.86555,0.761125,-3.80359,3.02147,-1.50644,33.007,10.778,1.6538,-5.53272,13.4317,6.77115,8.43002,5.05008,6.37066,-4.26771,-3.23952,-0.00704069,5.61662,4.71904,5.88247,0.702807,9.24012,-8.99354,5.93043,-14.6012,34.3603,3.04298,3.29447,-9.94375,0.538193,-3.6136,-7.80627,-13.8371,3.11381,0.694991,26.4424,-8.35835,2.82843,-1.9457,11.177,-10.0397,13.0308,-2.33766,25.8535,-4.33366,0.0710473,-1.02942,11.4831,-18.9643,-1.77338,-0.598249,3.39773,-6.03951,1.39953,-13.6584,0.981117,-5.05576,8.91865,-6.5944,9.32618,-14.6164,4.88233,9.2912,9.14866,0.802312,15.5845,3.78155,7.48315,-1.28097,13.3447,8.08272,8.17316,-3.20795,13.6272,11.9073,-25.0976,-17.4014,2.3661,-4.26347,11.0012,-4.45667,12.8956,-1.77067,13.5006,1.47095,16.7167,11.4667,31.0795,-14.6619,27.2245,-0.473757,16.5456,-1.19601,24.4036,11.0109,9.27476,-12.6676,15.6274,1.02822,24.6705,-0.840647,3.91162,1.82715,-0.0201654,0.111702,3.73803,-5.84722,6.3041,-6.77443,-13.3996,8.90817,11.4946,-3.63132,4.22126,-12.1131,17.4547,-14.2244,14.4216,22.5025,13.0824,1.63495,2.15681,-7.02544,17.0129,-6.70992,1.98356,4.58638,7.8067,-4.95012,7.62475,-9.37065,6.9925,-18.1213,21.8656,-14.0178,14.1116,-4.2042,17.8392,-5.06207,14.7719,5.25159,7.31761,0.554261,8.82138,2.91036,9.54813,-8.13254,15.8254,-6.05998
0.2,1e+06,11.2607,14.1421,102.164,97.8359,100,44.1942,28.9994,-0.914394,3.2209,-0.914394,3.2209,17.6529,7.86879,6.19133,1.47195,-4.41184,1.08061,35.9488,4.9106,7.25503,-3.07323,10.04,-3.0518,6.811,8.61804,14.3626,6.14217,6.30149,-0.507814,-8.81867,-0.690696,-24.9648,14.2446,11.2406,-2.73685,14.89,21.7978,-5.18301,2.12625,3.34368,5.70449,16.6603,-4.50245,5.37809,2.08014,-2.25865,10.0937,-6.86449,7.74423,25.0993,-21.3012,23.0032,2.24178,10.5717,8.25943,2.43134,-11.3378,-2.66657,-24.9013,0.369116,3.48362,-10.2309,2.79271,11.0269,-4.80931,6.4027,-14.8404,2.06129,-1.11249,7.22952,-12.375,13.0953,-13.0699,2.48558,1.53024,7.12159,1.2081,-1.8912,9.03443,10.3191,-11.3631,-0.968938,0.890861,1.55759,1.27448,2.75953,-4.98467,16.9088,-7.88565,10.2024,-2.59556,4.16296,-7.99143,18.3019,9.56455,5.09132,13.6367,27.3155,3.39232,-5.74579,-3.25826,3.28231,1.45272,1.31908,-0.616402,17.7379,9.53089,0.502381,-2.54915,11.2356,6.76176,3.56875,8.36553,1.37226,1.12219,0.307387,-0.522985,0.732403,-5.01401,-10.6135,4.10552,-2.91758,12.0883,1.78761,3.19312,-0.433511,2.75181,-4.12825,8.8829,1.64854,17.6837,7.12228,-5.63145,5.29679,-15.2786,-1.62939,1.04515,5.37004,9.39985,10.3937,-9.88167,11.0983,-3.48725,3.64247,1.09376,5.78222,6.38932,4.54152,6.73801,10.8604,-3.83228,6.08228,-0.683562,6.89615,-9.90444,3.76206,23.8484,26.8871,-6.9556,-0.00643768,-10.9977,-2.61746,-2.66542,27.0696,-13.689,3.82354,3.71907,4.49251,-23.451,19.5604,4.94949,-0.399872,-8.6219,-0.454444,3.028,23.5689,-13.2709,-6.02877,19.1992,1.38014,14.3147,6.67259,-6.14687,-15.7061,7.97907,-0.819536,5.24725,-4.47256,1.683,12.3046,3.03032,19.2474,-1.01444,-0.168572,4.36928,6.97772,-0.643884,-2.02941,18.3151,-7.26255,17.8821,-0.256415,-7.99459,0.802576,-0.494689,5.2922,-5.89494,14.208,0.764046
0.3,1e+06,10.7689,14.1421,107.233,92.7675,100,44.1942,23.7244,-3.59,1.70146,-3.59,1.70146,1.0763,4.13876,12.6596,45.0772,-3.60844,-0.630851,4.05769,-3.53594,4.43111,9.07733,4.20956,-7.86985,0.121654,1.77085,9.96993,1.09765,6.78759,0.593583,-6.19371,4.00664,12.0209,11.1662,6.28667,-0.536683,-7.02206,14.4964,6.32323,2.41189,14.631,-11.5574,8.987,3.62272,-2.06908,9.06518,7.9375,5.43671,0.307125,-0.691893,6.94537,-15.8353,12.9701,0.364069,-0.66048,-6.83945,-2.58533,-10.7061,-11.7631,14.246,6.62104,10.414,1.16466,-1.52733,4.62542,3.7803,23.3945,4.47911,-2.18766,3.15597,0.200078,4.18748,3.2855,-3.34437,23.4495,6.33348,0.0571696,5.92678,5.60801,10.6046,14.8732,-12.0589,3.83791,-11.4992,2.46089,14.9004,-0.0612046,-16.6559,2.83274,1.12879,3.66479,3.20707,8.37269,-10.1126,5.88396,0.924645,4.76089,2.59646,4.75734,1.20134,12.5944,5.58347,5.28414,-3.46752,6.46353,-6.25161,1.07416,-0.38416,11.5424,14.9334,0.0412363,7.65555,1.103,3.00095,2.95371,-1.60029,14.6395,-1.16974,21.1041,2.41062,-1.25983,-12.697,1.25293,6.81307,10.8478,4.20448,7.93449,-4.48222,10.5697,5.92668,6.67921,7.94887,0.940275,1.58916,8.50153,4.41487,0.851145,-6.19353,7.86068,-0.994598,2.41632,14.8871,8.88411,1.01384,5.92297,-2.91622,1.53874,19.0897,20.2202,-4.31055,12.2524,12.006,9.21808,8.05114,8.67476,-0.129859,9.36874,2.45621,9.15866,6.89181,-4.60939,-7.41217,2.57777,5.71907,-0.352786,0.872386,16.1844,6.13543,6.0023,-2.64205,2.15283,7.26095,10.3915,6.8275,13.8399,5.42551,4.03301,-0.585394,-8.74174,1.65873,28.8615,-17.9012,-3.97579,11.1691,1.13947,-13.0443,1.63884,-1.55378,14.4067,-2.9607,15.1049,-2.02612,-2.41213,10.2728,0.214707,16.7725,14.1343,6.42372,11.831,4.07565,17.1899,8.6785,5.8762,0.0125936,10.854,-0.676751,12.5677,3.55352,-0.743782,-1.48112
0.4,1e+06,8.27814,14.1421,116.508,83.4918,100,44.1942,13.3772,1.77787,2.3052,1.77787,2.3052,-1.19103,-0.985963,2.12362,8.56839,3.10894,1.68496,3.77549,-1.96931,1.5025,-0.790374,9.56272,1.94638,6.66827,-1.98143,18.9471,2.0181,6.97577,2.27821,6.0428,8.76523,7.04802,6.23745,-0.433006,0.528982,4.71193,3.82918,4.83351,2.36556,3.73934,0.691451,-7.87925,-8.5811,19.5165,74.9993,11.6143,2.72954,-1.93432,0.0112525,1.98306,-7.02908,11.2288,-12.1119,1.54177,-4.81072,-0.629792,-1.5666,10.3616,-1.26388,3.65044,1.60619,5.74357,-12.3501,16.4261,10.7976,3.75165,-0.381242,15.7205,-1.05195,1.4296,1.97697,12.4197,15.3164,3.04315,3.52235,1.22581,3.12662,6.54435,-8.05493,-1.20111,0.656175,2.79474,-0.279819,-0.0626673,0.574774,5.43372,-1.6048,5.71609,4.91987,2.59935,1.04252,1.8626,-0.934981,2.64188,5.94385,13.3409,2.84508,4.53469,6.71742,2.18078,-1.08127,10.5522,2.5976,-0.576032,0.615595,15.1746,0.798814,1.98107,-2.65504,14.3746,5.31317,4.72536,8.48463,3.76564,-2.18759,1.3436,-3.95401,3.0769,-2.61042,3.974,1.21729,29.9156,34.9072,-0.273221,0.325092,2.14269,-7.00173,3.39491,0.768484,16.9982,16.9291,5.12369,-1.78091,12.8189,-7.28887,3.30611,-3.38634,8.48366,0.78409,0.860711,-0.93968,9.50987,5.868,11.0964,7.96769,10.643,5.99894,0.820988,4.11517,7.1276,5.4957,15.0215,1.68408,6.75826,0.33679,3.16849,-0.843858,6.32936,-4.33011,15.4852,-2.95026,14.0731,14.0213,1.20928,-3.82788,0.457648,0.707341,9.89418,-2.2714,2.66542,0.265949,0.242352,0.697839,1.84247,-1.34003,4.22657,-7.3347,4.14833,6.70142,3.51703,-9.79427,1.26365,1.32803,3.05434,3.58109,7.326,0.336284,1.55591,2.13076,3.41914,4.61704,14.9966,10.8069,3.5792,2.14642,0.0482931,-3.37022,5.58694,1.16618,6.38434,1.64498,0.288798,-2.10509,5.60776,3.47881,4.84639,-1.77796,11.8364,-7.026
0.5,1e+06,5.67881,14.1421,102.029,97.9711,100,44.1942,6.23375,-0.0269405,-0.502337,-0.0269405,-0.502337,1.55892,0.883033,6.76868,5.84044,2.38154,-0.322657,-2.28784,1.60744,-0.976442,3.25044,0.54211,2.96503,-1.02288,4.12765,5.90143,2.65813,-2.07756,1.87296,3.47562,6.97966,-1.61513,2.98998,1.56375,1.49188,-2.24066,0.662779,-0.195162,8.70583,-0.8985,1.64044,-0.266862,4.26872,7.93307,15.9843,3.26579,7.30575,-1.10559,3.18864,-1.85146,0.339677,-0.241616,5.86064,-2.26706,-0.793373,0.92422,2.41971,2.02098,3.80073,-0.0670769,0.00250915,-0.232551,4.48651,-0.345287,5.97048,-0.336152,0.545719,0.971322,4.21918,0.0954911,3.6204,0.00124847,3.8927,0.0070589,0.246234,1.53583,1.12116,-0.45918,1.9249,0.82047,1.5477,5.87938,4.11705,1.492,3.10982,4.86345,-2.24191,-3.38386,0.0591047,2.09025,0.579463,-0.0981271,3.6686,1.83736,2.70533,3.66011,3.46499,-1.13421,5.70265,4.11617,1.52417,2.24053,4.66805,1.02421,2.59918,-2.65628,-0.129245,0.954243,0.979338,-3.87733,7.85678,-1.44959,2.15274,1.30989,0.795742,0.178301,3.1869,1.19467,3.11717,-0.825213,-0.517336,10.6208,7.0502,1.26914,1.87188,-1.69913,2.21524,1.11143,2.83425,9.91876,5.53047,0.684027,-0.340196,-0.686923,2.78493,0.759395,3.25886,0.307313,4.2406,-0.429044,2.70305,3.77117,32.4359,-1.03577,3.06645,3.79243,4.0948,-3.56656,0.948305,-0.467321,1.11686,4.8664,4.13438,-1.11948,5.70727,-0.67623,2.63266,3.91876,-0.768133,24.0641,9.93529,40.1574,25.2161,-1.72584,1.18662,0.431648,1.99042,-0.532732,2.74954,1.20062,6.65466,3.81637,4.95005,-1.12901,0.956066,-1.51107,0.58033,-1.9294,0.383488,2.05518,2.21118,-1.40475,0.783506,1.25812,-2.84666,2.13839,1.27213,-3.60644,0.801759,0.37673,4.14741,7.93634,-0.559417,0.242537,3.3089,1.96552,1.94225,0.508955,1.42752,2.28683,2.38254,1.63949,-0.393626,1.15387,4.93216,-2.59097,1.81536,-2.41768,0.647267
0.6,1e+06,4.39286,14.1421,104.379,95.621,100,44.1942,5.78506,1.95436,0.158832,1.95436,0.158832,-0.973472,0.173263,5.50024,20.4648,3.98049,-2.01112,-1.94479,0.0839461,0.94787,2.15634,0.995405,-4.20574,-1.47799,-1.75738,-0.106458,0.0407145,0.0306332,0.0418645,1.23542,-2.19406,0.555743,-0.351231,-0.326225,1.22305,-1.79221,0.740416,-1.81713,0.322404,1.14542,0.0219917,-0.536382,-2.41877,29.8063,30.906,2.72183,-4.23981,0.505006,-0.436356,-2.01153,0.104862,3.27797,-0.14598,-1.61569,1.73233,0.578663,-1.09879,3.06134,-3.16397,2.52492,0.470601,-0.884828,-4.646,-1.23246,-5.24226,0.194141,0.860766,-0.422313,-0.711787,1.15216,0.771751,1.17049,-2.68499,1.52032,-2.82373,0.37718,0.551449,1.47036,1.38685,-0.791269,-0.324498,0.42371,-0.777837,1.47041,-1.44359,-0.784238,-2.66386,-2.74428,-0.255647,2.12613,0.225711,1.09556,-0.401289,1.30139,0.278306,4.10191,-0.0139883,0.155656,-1.1285,1.07211,-2.83018,0.331782,2.96307,2.30752,0.431606,-1.28134,0.419964,0.994801,-0.0984378,-0.205851,-4.80277,0.494844,1.56967,0.912535,-3.62858,1.91001,0.514084,1.5652,-1.78722,-0.805156,1.26178,10.1014,1.49466,0.191538,-0.69476,-0.907519,-0.0728182,0.864188,1.33354,2.80871,3.2831,3.30021,-2.08996,1.54453,-2.4528,-3.04787,1.198,3.67164,-1.10185,1.02634,0.823255,11.9359,7.27652,-0.0232388,-0.43223,9.49516,6.66404,-1.37408,0.680485,-1.92693,2.80683,2.1359,0.180321,0.00551393,2.71824,0.330459,-1.32755,0.228044,1.71089,19.6533,7.72073,104.314,139.687,-1.16589,-0.0998704,-0.518553,-0.610349,-2.49272,0.874259,0.6063,-0.5373,0.582615,0.633938,2.14881,-3.47503,-1.58988,-0.829418,-1.29816,0.0947195,1.76495,-0.296761,1.22345,-1.51364,-0.269345,1.61751,0.789774,1.17207,-0.341506,-3.00123,-0.924326,-0.0231888,3.03787,-3.07377,1.91862,-0.437973,-0.431786,-0.38519,5.50683,1.70491,1.28367,2.58905,1.15093,-1.49106,-2.20297,2.0391,0.81361,1.8538,-1.70356,0.727475
0.7,1e+06,5.4899,14.1421,107.762,92.2376,100,44.1942,9.21496,2.01013,-0.326165,2.01013,-0.326165,-2.70173,3.38558,3.43049,83.0107,-3.05825,-1.97358,0.981415,4.29434,0.770004,-7.21252,0.266345,-0.286734,2.93695,4.10202,46.4499,25.7051,-4.31834,-1.2907,2.75701,0.896497,-5.89139,7.70565,0.145845,-0.974921,-8.57803,0.5328,-3.02034,-2.80277,2.52064,0.0318697,-1.72169,1.89335,6.64335,12.5107,-0.797118,-5.69496,3.57501,-0.155594,-1.16248,4.79586,2.1621,-6.54612,-0.72401,0.933812,-3.49877,4.76255,3.47393,4.63028,1.01896,-1.41237,0.413546,-6.088,0.349161,-1.61606,0.0712483,1.18596,-0.562618,0.750348,-1.01744,-2.12133,-0.660577,-0.65429,2.73687,1.43134,4.01595,-1.58125,-1.72842,0.384981,-2.1873,-7.76962,1.0876,-1.55213,-2.67829,1.07643,-5.32623,-1.64594,-4.32392,-0.893397,1.42221,0.366696,0.854819,1.39287,0.803797,-0.417918,-1.1591,-0.232714,-3.28446,-2.72807,1.61403,2.71707,-2.41071,0.527222,0.702826,4.21349,-2.08198,-1.18114,-0.619863,-6.04845,-1.25495,-1.28196,-2.55293,-3.88476,1.95088,0.361742,0.21314,-0.846962,2.46587,0.482528,3.17013,3.14456,11.8445,10.6235,2.58102,-0.447801,2.12979,-1.75167,2.26716,1.74559,1.46126,0.318472,3.69391,0.821943,-3.23882,2.11531,0.908953,1.01289,1.42099,-0.267319,2.31846,1.29156,31.3951,21.7012,-1.24539,-0.569667,-0.403764,0.0739113,-5.87475,2.6153,1.46082,1.72488,14.3686,5.7637,-2.97681,1.61621,-3.51027,-0.557948,-2.82729,-4.2654,124.548,80.3626,37.6771,31.6253,1.04291,-2.87455,1.91849,2.32571,0.00470748,-4.15419,-2.23036,1.85088,-0.776678,-2.50529,1.1094,-2.92088,-3.08748,-3.80568,7.20722,0.282269,0.877056,-2.09403,3.17318,-1.15918,1.26811,-5.67789,0.135373,0.420906,-0.917134,0.0151822,3.40829,1.96116,1.74466,0.742628,0.25554,-1.46232,1.91014,0.482337,1.11147,-1.83871,2.11425,-0.459539,0.671504,1.14715,1.82702,1.5761,-1.11882,5.12573,-2.59363,1.51199
0.8,1e+06,5.91559,14.1421,106.368,93.6319,100,44.1942,11.1364,2.58945,1.68363,2.58945,1.68363,-1.79624,-0.330932,-7.30852,49.4043,0.274613,-0.688656,-1.3468,-2.37037,5.56269,-2.27975,3.00508,1.21185,0.141161,3.54359,2.67753,-3.07398,8.43819,1.86182,-2.11253,-0.343856,2.29167,1.04527,-1.516,-7.38745,2.40044,-3.38773,1.56828,1.29701,0.176813,0.0720005,-2.49224,3.5189,54.4414,72.072,3.70482,1.5461,0.0494131,1.3475,1.78246,-4.93426,-3.14255,4.88745,-2.04098,-5.63756,-0.172687,4.2985,1.18681,-2.38816,4.08708,-3.53282,2.46892,-3.44992,0.596453,-2.34697,1.13894,2.33271,2.76813,0.856849,2.54765,-3.54466,5.42039,2.32349,6.19861,1.2435,4.13939,3.24432,3.4641,0.55322,6.01928,-10.2534,-5.45126,-1.40309,0.500733,1.58135,-2.46996,0.375685,-3.01003,-0.124292,1.57807,-1.79677,2.71005,-2.73526,-0.35177,2.52259,2.90374,-1.68629,-1.30412,3.22887,-0.0372266,-6.67126,3.78187,-0.963614,7.18104,-0.8111,-0.339297,-0.63977,-0.487326,1.57548,0.189204,-1.66604,-0.880779,1.52769,5.14388,1.23566,3.27323,-1.55855,-7.5407,-5.18644,6.8335,0.837246,17.3839,29.8354,1.40764,0.620424,-6.78092,-3.36077,3.67455,-2.57835,5.50656,0.875236,8.06822,-2.45685,1.45575,1.55959,3.03524,-0.918347,0.509705,-0.699416,-0.757451,6.90484,14.0414,6.83393,0.0261371,-5.87893,4.86897,1.48407,1.2623,5.72672,2.31659,-1.95492,19.491,10.468,1.13628,-3.11676,-1.12653,2.88554,3.3979,-1.58618,114.196,-33.0841,4.7197,0.687235,-3.44993,1.70318,4.87263,4.21899,1.81185,4.87177,-2.947,-2.27151,1.63909,2.85102,3.79315,2.151,-1.49877,1.63193,-1.20806,-1.00675,7.14221,-0.0530462,1.71759,-1.70611,4.65078,-0.60206,-0.84566,0.410111,1.22196,-0.192689,3.22427,-2.38737,2.12952,-0.771795,4.7821,1.87302,2.60574,1.50071,4.35652,-7.87367,2.11567,-1.07451,-0.54479,8.7604,3.99283,-2.10687,4.26671,-1.91265,-3.81873,3.20693
0.9,1e+06,5.03418,14.1421,105.231,94.7689,100,44.1942,5.66547,2.19928,1.44477,2.19928,1.44477,-0.109759,0.52036,-0.784331,5.86367,0.852238,-1.15974,6.26591,-1.1367,-1.87137,-0.284147,2.54054,1.69701,0.0664191,-0.101488,2.27454,1.22707,3.74594,0.652367,-2.88722,-3.01351,-1.74526,3.74118,0.781166,1.18009,-0.769664,-1.81277,2.43787,1.26291,0.388598,2.05197,2.14786,0.665379,-1.66991,4.03344,4.53473,2.40212,-1.68801,0.965486,1.54273,1.01092,1.55491,2.93349,0.494812,-0.593221,-2.73744,0.462189,2.80797,5.56882,0.830129,1.5102,13.9503,18.9635,0.482438,1.47637,-1.12818,0.764088,3.11724,5.28022,3.88956,4.58565,0.584481,-1.59121,0.577403,2.219,0.341802,0.680323,1.92242,-0.0632911,1.04015,-0.359407,0.218653,1.97716,0.254152,1.90135,-1.13207,-0.842071,0.725079,-0.22062,1.5409,1.34839,1.96685,0.242236,1.73939,4.07654,2.57579,0.952592,0.280384,3.01533,0.745551,-2.2368,4.97529,0.749388,1.45762,-0.560851,-1.71115,2.65375,1.26585,-0.505937,3.04291,-0.504714,-0.186027,0.36701,0.724177,-0.495404,0.532938,1.29091,-3.45644,1.86859,0.581422,2.94506,1.49437,3.11967,0.548772,2.55315,7.0419,-2.40964,5.03561,-0.100257,18.8872,7.59331,2.31681,2.34067,0.978807,0.72185,1.19536,-0.0250639,4.0397,5.92584,0.818629,-0.463515,1.22723,2.90406,-3.18964,2.77885,4.90561,1.03834,-0.605051,0.515538,0.727503,-0.0107018,17.9817,2.59968,1.06453,-0.460868,-0.0163481,2.04425,1.7323,-0.272649,2.99507,1.25225,9.19156,0.817589,2.24775,-1.45684,1.01452,0.191596,2.18021,-0.185818,2.21391,-2.25747,3.33359,-0.259572,1.13182,0.328863,-0.265433,0.731851,2.29222,3.07784,2.89044,1.35975,0.461121,2.10798,2.28089,0.636048,1.36551,1.55056,0.845889,0.654667,2.32112,2.15251,4.70412,2.1767,1.80552,0.452711,-0.20892,0.500785,1.9442,1.66851,4.24375,1.73665,-0.475585,1.11962,3.43273,-0.244788,2.2226,-1.05055,-4.79863,1.58227
